id,song_id,song_title,song_artist,spotify_link,title,artist,lyrics,genre
1,1,Viva La Vida,Coldplay,[{'song_link': 'https://open.spotify.com/intl-es/track/1mea3bSkSGXuIRvnydlB5b'}],Viva La Vida,Coldplay,"[Verse 1: Chris Martin]
I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

[Verse 2: Chris Martin]
I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world


[Verse 3: Chris Martin]
It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (Mmm, mmm)
Aw, who would ever wanna be king?

[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world
[Bridge: Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh


[Chorus: Chris Martin, Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]
(Oh-oh-oh, oh-oh, oh)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason, I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

[Outro]
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm","permanent wave, pop"
2,2,The Scientist,Coldplay,[{'song_link': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}],The Scientist,Coldplay,"[Verse 1]
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
And tell you I set you apart
Tell me your secrets and ask me your questions
No, let's go back to the start
Runnin' in circles, comin' up tails
Heads on a science apart

[Chorus]
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
[Verse 2]
I was just guessin' at numbers and figures
Pullin' your puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
And tell me you love me, come back and haunt me
Oh, and I rush to the start
Runnin' in circles, chasin' our tails
Comin' back as we are


[Chorus]
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm goin' back to the start

[Instrumental Break]

[Outro]
Ah-ooh
Ah-ooh
Ah-ooh
Ah-ooh","permanent wave, pop"
3,3,Yellow,Coldplay,[{'song_link': 'https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg'}],Yellow,Coldplay,"[Verse 1: Chris Martin]
Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called, ""Yellow""
So then I took my turn
Oh, what a thing to have done
And it was all yellow

[Chorus: Chris Martin, Jonny Buckland & Will Champion]
(Ah) Your skin, oh, yeah, your skin and bones
(Ooh) Turn into something beautiful
(Ah) And you know, you know I love you so
You know I love you so

[Verse 2: Chris Martin]
I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow


[Chorus: Chris Martin, Jonny Buckland & Will Champion]
(Ah) And your skin, oh, yeah, your skin and bones
(Ooh) Turn into something beautiful
(Ah) And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry

[Bridge: Chris Martin]
It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

[Outro: Chris Martin]
Look at the stars
Look how they shine for you
And all the things that you do","permanent wave, pop"
4,4,Fix You,Coldplay,[{'song_link': 'https://open.spotify.com/intl-es/track/4cr1WGEgAucOtYEq2wrwlV'}],Fix You,Coldplay,"[Verse 1: Chris Martin]
When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse

[Verse 2: Chris Martin]
And the tears come streamin' down your face
When you lose somethin' you can't replace
When you love someone, but it goes to waste
Could it be worse?

[Chorus: Chris Martin, Chris Martin & Will Champion]
Lights will guide you home
And ignite your bones
And I will try to fix you

[Verse 3: Chris Martin]
And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth

[Chorus: Chris Martin, Chris Martin & Will Champion]
Lights will guide you home
And ignite your bones
And I will try to fix you


[Interlude]

[Bridge: Chris Martin, Jonny Buckland, Guy Berryman & Will Champion]
Tears stream down your face
When you lose somethin' you cannot replace
Tears stream down your face, and I...
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face, and I...

[Chorus: Chris Martin]
Lights will guide you home
And ignite your bones
And I will try to fix you","permanent wave, pop"
5,5,Hymn for the Weekend,Coldplay,[{'song_link': 'https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy'}],Hymn for the Weekend,Coldplay,"[Intro: Beyoncé]
And said drink from me, drink from me
(I, oh, I, oh, I)
That we shoot across the sky
Got me feeling drunk and high
Poured on a symphony
So high, so high
That we shoot across the sky
Poured on a symphony
Drink from me, drink from me
(I, oh, I, oh, I)
That we shoot across the sky
Got me feelin' drunk and high
Poured on a symphony
So high, so high
That we shoot across the sky

[Verse 1: Chris Martin]
Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh, now I think I must be miles up
When I was a river dried up
You came to rain a flood


[Pre-Chorus: Chris Martin, Chris Martin & Beyoncé]
I said, drink from me, drink from me
When I was so thirsty
Poured on a symphony
Now I just can't get enough
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low

[Chorus: Chris Martin & Beyoncé]
I, oh, I, oh, I
Got me feeling drunk and high, so high, so high
Oh, I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high (Woo)
(Ooh, ooh, ooh)

[Verse 2: Chris Martin, Chris Martin & Beyoncé, Beyoncé]
Oh, angel sent from up above
I feel you coursing through my blood
Life is a drink and your love's about
To make the stars (Stars) come out

[Pre-Chorus: Chris Martin, Chris Martin & Beyoncé]
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low


[Chorus: Chris Martin]
I, oh, I, oh, I
Got me feeling drunk and high, so high, so high
Oh, I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high

[Bridge: Beyoncé, Beyoncé & Chris Martin]
I, oh, I, oh, I
La, la, la, la, la, la, la, so high, so high
I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high
[Outro: Beyoncé  & Chris Martin, Beyoncé]
That we shoot across the sky
That we shoot across the
That we shoot across the sky
That we shoot across the (That we shoot)
That we shoot across the sky
That we shoot across the
That we shoot across the sky
That we shoot across the","permanent wave, pop"
6,6,Creep,Radiohead,[{'song_link': 'https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r'}],Creep,Radiohead,"[Verse 1]
When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special

[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here

[Verse 2]
I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special


[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh, oh

[Bridge]
She's runnin' out the door
She's runnin' out
She run, run, run, run
Run

[Verse 3]
Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special

[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here","alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
7,7,Karma Police,Radiohead,[{'song_link': 'https://open.spotify.com/track/63OQupATfueTdZMWTxW03A'}],Karma Police,Radiohead,"[Verse 1]
Karma police, arrest this man
He talks in maths, he buzzes like a fridge
He's like a detuned radio

[Verse 2]
Karma police, arrest this girl
Her Hitler hairdo is making me feel ill
And we have crashed her party

[Chorus]
This is what you get
This is what you get
This is what you get
When you mess with us

[Verse 3]
Karma police, I've given all I can
It's not enough, I've given all I can
But we're still on the payroll

[Chorus]
This is what you get
This is what you get
This is what you get
When you mess with us


[Outro]
For a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself
For a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself","alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
8,8,No Surprises,Radiohead,[{'song_link': 'https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB'}],No Surprises,Radiohead,"[Verse 1]
A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal

[Verse 2]
You look so tired, unhappy
Bring down the government
They don't, they don't speak for us

[Pre-Chorus]
I'll take a quiet life
A handshake of carbon monoxide

[Chorus]
And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises

[Bridge]
Silent
Silent
This is my final fit
My final bellyache with

[Chorus]
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please


[Instrumental Break]

[Pre-Chorus]
Such a pretty house
And such a pretty garden

[Chorus]
No alarms and no surprises (Let me out of here)
No alarms and no surprises (Let me out of here)
No alarms and no surprises, please (Let me out of here)","alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
9,9,Exit Music (For A Film),Radiohead,[{'song_link': 'https://open.spotify.com/track/0z1o5L7HJx562xZSATcIpY'}],Exit Music (For A Film),Radiohead,"[Verse 1]
Wake from your sleep
The drying of your tears
Today we escape
We escape

[Verse 2]
Pack and get dressed
Before your father hears us
Before all hell
Breaks loose

[Chorus]
Breathe, keep breathing
Don't lose your nerve
Breathe, keep breathing
I can't do this alone

[Verse 3]
Sing us a song
A song to keep us warm
There's such a chill
Such a chill

[Chorus]
And you can laugh
A spineless laugh
We hope your rules
And wisdom choke you


[Outro]
Now we are one
In everlasting peace
We hope that you choke
That you choke
We hope that you choke
That you choke
We hope that you choke
That you choke","alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
10,10,Paranoid Android,Radiohead,[{'song_link': 'https://open.spotify.com/track/6LgJvl0Xdtc73RJ1mmpotq'}],Paranoid Android,Radiohead,"[Verse 1]
Please could you stop the noise?
I'm trying to get some rest
From all the unborn chicken
Voices in my head

[Chorus]
What's that?
(I may be paranoid, but not an android)
What's that?
(I may be paranoid, but not an android)

[Verse 2]
When I am king
You will be first against the wall
With your opinion
Which is of no consequence at all

[Chorus]
What's that?
(I may be paranoid, but not an android)
What's that?
(I may be paranoid, but not an android)

[Interlude]
(Na, na, na, na, na, na
Na, na, na, na, na, na
Na, na, na, na, na, na
Na, na, na, na)


[Verse 3]
Ambition makes you look pretty ugly
Kicking, squealing, Gucci little piggy

[Interlude]
(Na, na, na, na
Na, na, na, na, na, na
Na, na, na, na, na
Na, na, na, na)

[Bridge]
You don't remember, you don't remember
Why don't you remember my name?
Off with his head, man, off with his head, man
Why don't you remember my name? I guess he does

[Guitar Solo]

[Verse 4]
Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height
Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height


[Bridge]
That's it, sir, you're leaving (Rain down)
The crackle of pigskin (Rain down)
The dust and the screaming (Come on, rain down)
The yuppies networking and (On me)
The panic, the vomit (From a great height)
The panic, the vomit (From a great height)
God loves his children
God loves his children, yeah

[Outro]
(The family see him as very ugly)","alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
