id,song_id,song_title,song_artist,spotify_link
1,1,Viva La Vida,Coldplay,[{'song_link': 'https://open.spotify.com/intl-es/track/1mea3bSkSGXuIRvnydlB5b'}]
2,2,The Scientist,Coldplay,[{'song_link': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}]
3,3,Yellow,Coldplay,[{'song_link': 'https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg'}]
4,4,Fix You,Coldplay,[{'song_link': 'https://open.spotify.com/intl-es/track/4cr1WGEgAucOtYEq2wrwlV'}]
5,5,Hymn for the Weekend,Coldplay,[{'song_link': 'https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy'}]
6,6,Creep,Radiohead,[{'song_link': 'https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r'}]
7,7,Karma Police,Radiohead,[{'song_link': 'https://open.spotify.com/track/63OQupATfueTdZMWTxW03A'}]
8,8,No Surprises,Radiohead,[{'song_link': 'https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB'}]
9,9,Exit Music (For A Film),Radiohead,[{'song_link': 'https://open.spotify.com/track/0z1o5L7HJx562xZSATcIpY'}]
10,10,Paranoid Android,Radiohead,[{'song_link': 'https://open.spotify.com/track/6LgJvl0Xdtc73RJ1mmpotq'}]
11,11,Californication,Red Hot Chili Peppers,[{'song_link': 'https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox'}]
12,12,Under the Bridge,Red Hot Chili Peppers,[{'song_link': 'https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0'}]
13,13,Can’t Stop,Red Hot Chili Peppers,[{'song_link': 'https://open.spotify.com/track/4BcS4LomxUnQpzx4hCaJTs'}]
14,14,Otherside,Red Hot Chili Peppers,[{'song_link': 'https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P'}]
15,15,Scar Tissue,Red Hot Chili Peppers,[{'song_link': 'https://open.spotify.com/track/1G391cbiT3v3Cywg8T7DM1'}]
16,16,Work,Rihanna,[{'song_link': 'https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt'}]
17,17,Love on the Brain,Rihanna,[{'song_link': 'https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp'}]
18,18,Needed Me,Rihanna,[{'song_link': 'https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3'}]
19,19,Stay,Rihanna,[{'song_link': 'https://open.spotify.com/track/1dEy9Pl81QopSxNsPxXQxv'}]
20,20,FourFiveSeconds,Rihanna,[{'song_link': 'https://open.spotify.com/track/78TTtXnFQPzwqlbtbwqN0y'}]
21,21,Rap God,Eminem,[{'song_link': 'https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k'}]
22,22,Lose Yourself,Eminem,[{'song_link': 'https://open.spotify.com/track/7MJQ9Nfxzh8LPZ9e9u68Fq'}]
23,23,Mockingbird,Eminem,[{'song_link': 'https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s'}]
24,24,Without Me,Eminem,[{'song_link': 'https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk'}]
25,25,The Real Slim Shady,Eminem,[{'song_link': 'https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR'}]
26,26,Mr. Brightside,The Killers,[{'song_link': 'https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B'}]
27,27,All These Things That I’ve Done,The Killers,[{'song_link': 'https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT'}]
28,28,Somebody Told Me,The Killers,[{'song_link': 'https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v'}]
29,29,Human,The Killers,[{'song_link': 'https://open.spotify.com/track/1sTsuZTdANkiFd7T34H3nb'}]
